Date,Time,Price,Volume,1-minute Percent Change,5-minute Percent Change,15-minute Percent Change,30-minute Percent Change,60-minute Percent Change,Decision
20200811,0930,509.99,901.0,0,0,0,0,0,hold
20200812,0931,509.94,310.0,-0.00980411380615529,0,0,0,0,sell
20200812,0932,509.6,2232.0,-0.06667451072674727,0,0,0,0,sell
20200812,0933,509.33,407.0,-0.0529827315541677,0,0,0,0,sell
20200812,0934,509.32,236.0,-0.001963363634576975,0,0,0,0,sell
20200812,0935,508.5,928.0,-0.16099897903086335,-0.29216259142336304,0,0,0,hold
20200812,0936,508.62,102.0,0.023598820058997945,-0.25885398282150707,0,0,0,buy
20200812,0937,509.0,1016.0,0.07471196571113906,-0.11773940345369363,0,0,0,buy
20200812,0938,509.22,205.0,0.04322200392927845,-0.02159699998035788,0,0,0,buy
20200812,0939,510.0,391.0,0.1531754447979209,0.13351134846462084,0,0,0,hold
20200812,0940,508.62,365.0,-0.27058823529411674,0.023598820058997945,0,0,0,hold
20200812,0941,510.0,426.0,0.27132240179308625,0.27132240179308625,0,0,0,hold
20200812,0942,510.0,850.0,0.0,0.19646365422396855,0,0,0,hold
20200812,0943,512.0,240.0,0.39215686274509803,0.5459329955618343,0,0,0,hold
20200812,0944,510.36,125.0,-0.32031249999999734,0.07058823529412032,0,0,0,hold
20200812,0945,510.6,103.0,0.047025628967789224,0.3892886634422591,0.11961018843507003,0,0,hold
20200812,0946,509.6,330.0,-0.19584802193497844,-0.07843137254901515,-0.06667451072674727,0,0,sell
20200812,0947,509.4999,342.0,-0.019642857142856678,-0.09805882352940684,-0.019642857142856678,0,0,hold
20200812,0948,509.5,218.0,1.9627089225120148e-05,-0.48828125,0.03337718178784205,0,0,hold
20200812,0949,509.23,117.0,-0.05299313052011419,-0.22141233638999833,-0.01767061964972414,0,0,hold
20200812,0950,509.52,392.0,0.05694872650864317,-0.21151586368978473,0.20058997050147134,0,0,hold
20200812,0951,509.0,455.0,-0.10205683780812957,-0.11773940345369363,0.07471196571113906,0,0,sell
20200812,0952,508.95,203.0,-0.00982318271120066,-0.10792936367603535,-0.00982318271120066,0,0,hold
20200812,0953,508.98,1070.0,0.00589448865311515,-0.10206084396466768,-0.04713090609167139,0,0,hold
20200812,0954,508.7,221.0,-0.055011984753827174,-0.10407870706753913,-0.25490196078431593,0,0,sell
20200812,0955,508.37,200.0,-0.06487124041674544,-0.22570262207567462,-0.04915260902048681,0,0,hold
20200812,0956,508.98,346.0,0.11999134488660103,-0.0039292730844757975,-0.19999999999999646,0,0,hold
20200812,0957,508.25,148.0,-0.1434241031081807,-0.1375380685725491,-0.3431372549019608,0,0,hold
20200812,0958,508.98,136.0,0.1436301032956258,0.0,-0.5898437499999964,0,0,hold
20200812,0959,508.41,159.0,-0.1119886832488493,-0.05700805976016584,-0.38208323536327077,0,0,hold
20200812,1000,509.0,240.0,0.1160480714384011,0.12392548734189576,-0.31335683509597,-0.19412145336183242,0,hold
20200812,1001,509.0,531.0,0.0,0.003929427482412238,-0.11773940345369363,-0.18433541200925554,0,hold
20200812,1002,509.0,558.0,0.0,0.14756517461878996,-0.09811581906100965,-0.11773940345369363,0,hold
20200812,1003,509.0,462.0,0.0,0.003929427482412238,-0.09813542688910697,-0.06479099994109597,0,hold
20200812,1004,509.44,558.0,0.08644400785854572,0.20259239590094072,0.04123873298901862,0.023560826199639628,0,buy
20200812,1005,509.84,421.0,0.07851758793969403,0.16502946954812867,0.06280420788192675,0.26352015732546213,0,hold
20200812,1006,509.64,1573.0,-0.03922799309587099,0.1257367387033372,0.1257367387033372,0.2005426448035826,0,hold
