Date,Time,Price,Volume,1-minute Percent Change,5-minute Percent Change,15-minute Percent Change,30-minute Percent Change,60-minute Percent Change,Decision
20200728,0930,15.36,28013.0,0,0,0,0,0,hold
20200729,0931,15.33,52433.0,-0.19531249999999584,0,0,0,0,hold
20200729,0932,15.3453,33530.0,0.0998043052837565,0,0,0,0,buy
20200729,0933,15.38,63202.0,0.22612786977120578,0,0,0,0,hold
20200729,0934,15.3631,28343.0,-0.10988296488947638,0,0,0,0,sell
20200729,0935,15.34,67855.0,-0.15036027884996814,-0.13020833333333057,0,0,0,hold
20200729,0936,15.35,116943.0,0.06518904823989431,0.13046314416177152,0,0,0,hold
20200729,0937,15.29,65642.0,-0.3908794788273648,-0.3603709279062696,0,0,0,hold
20200729,0938,15.3,38481.0,0.0654022236756152,-0.5201560468140447,0,0,0,buy
20200729,0939,15.33,62272.0,0.1960784313725448,-0.21545130865514933,0,0,0,buy
20200729,0940,15.335,139180.0,0.03261578604044867,-0.03259452411994136,0,0,0,hold
20200729,0941,15.33,39488.0,-0.0326051516139601,-0.13029315960911775,0,0,0,sell
20200729,0942,15.3162,53593.0,-0.09001956947162304,0.1713538260300923,0,0,0,hold
20200729,0943,15.32,159570.0,0.024810331544378016,0.13071895424836322,0,0,0,hold
20200729,0944,15.285,57398.0,-0.22845953002611058,-0.2935420743639917,0,0,0,sell
20200729,0945,15.24,58550.0,-0.29440628066732044,-0.6194978806651492,-0.781249999999995,0,0,hold
20200729,0946,15.29,93707.0,0.32808398950130535,-0.26092628832355463,-0.26092628832355463,0,0,hold
20200729,0947,15.265,51044.0,-0.16350555918900314,-0.3342865723874047,-0.5232872605944451,0,0,hold
20200729,0948,15.265,61898.0,0.0,-0.35900783289817045,-0.74772431729519,0,0,hold
20200729,0949,15.28,102353.0,0.09826400262036548,-0.03271180896304077,-0.5409064576810667,0,0,buy
20200729,0950,15.285,102137.0,0.03272251308901035,0.29527559055118063,-0.3585397653194245,0,0,hold
20200729,0951,15.23,79208.0,-0.3598298985933903,-0.3924133420536215,-0.7817589576547181,0,0,sell
