Date,Time,Price,Volume,1-minute Percent Change,5-minute Percent Change,15-minute Percent Change,30-minute Percent Change,60-minute Percent Change,Decision
20200803,1027,460.47,77592.0,-0.09871454141128905,0.138093011623745,-0.16700622213626246,-0.21561765247634115,0,hold
20200803,1028,460.575,62490.0,0.022802788455265562,0.201240073969327,-0.1333506797632232,-0.17447657028913408,0,hold
20200803,1029,460.47,83466.0,-0.022797589969052023,0.07824215948360472,-0.10304917072535029,-0.23183256055813,0,hold
20200803,1030,460.4781,110465.0,0.0017590722522544905,-0.029721133701686994,-0.11754370743134751,-0.2387235148836606,-0.46320854435920494,hold
20200803,1031,460.155,125764.0,-0.07016620334387473,-0.16705537777296492,-0.10528829454672058,-0.37994414496331586,-0.49043851418259216,sell
20200803,1032,459.66,153108.0,-0.10757244841410997,-0.1759072252263996,-0.16940317956736442,-0.476334820075345,-0.6666738700580188,hold
20200803,1033,460.02,101582.0,0.07831875734237409,-0.1205015469793208,-0.0618286239155576,-0.4264161561938629,-0.6146500599526918,buy
20200803,1034,460.035,185751.0,0.0032607277944531115,-0.0944686950289926,-0.05974234754838636,-0.37917996647797386,-0.5942284214051882,buy
20200803,1035,460.31,117446.0,0.05977806036496728,-0.03650553631106045,0.034771270237971316,-0.3550167767074329,-0.5552194953335623,buy
20200803,1036,461.205,51595.0,0.19443418565748774,0.22818398148450225,0.26128084788993083,-0.12213899157371357,-0.26274815103153665,buy
20200803,1037,461.2328,78128.0,0.0060276883381605514,0.34216594874471834,0.30397860101993496,0.02337760910815884,-0.2021131327232653,buy
20200803,1038,461.295,58067.0,0.013485597728526345,0.2771618625277236,0.3578809964103206,0.09860242348439373,-0.22377974501308412,buy
20200803,1039,461.48,77641.0,0.040104488450991724,0.31410653537230715,0.2977548847014854,0.0889235907779784,-0.15791526750075807,hold
20200803,1040,461.48,88967.0,0.0,0.25417653320588646,0.18779240797629454,0.07807078417765737,-0.10273736856392585,hold
20200803,1041,461.0737,115960.0,-0.08804281875705215,-0.028468902115113714,0.032261213863418674,-0.042556420317819914,-0.13565085553389966,sell
20200803,1042,460.6968,81168.0,-0.08174398149362626,-0.11621029553839218,0.04925402306338498,-0.11783445635604577,-0.29826326894984423,hold
20200803,1043,460.85,94225.0,0.03325397528266458,-0.09646755330103149,0.059707973728498974,-0.07372232702356403,-0.3308966650806637,hold
20200803,1044,460.72,112925.0,-0.02820874471085938,-0.16468752708676235,0.05429235346493799,-0.04881276508042519,-0.3758179121130999,hold
20200803,1045,461.08,98221.0,0.07813856572320646,-0.0866776458351465,0.13071197088417463,0.013014619756193283,-0.29404908487548154,buy
20200803,1046,461.335,74322.0,0.055304936236660766,0.05667206782776933,0.2564353315730584,0.15087704063910934,-0.2680646381667858,buy
20200803,1047,461.45,68976.0,0.02492765560818258,0.16349147638967593,0.3894182656746211,0.21935539918338784,-0.13634002770083004,buy
20200803,1048,461.735,138792.0,0.06176183768556182,0.1920364543777782,0.37280987783140557,0.31075075069856356,-0.10925060574593186,hold
20200803,1049,461.53,111470.0,-0.044397760620278066,0.17581177287722377,0.324975273620474,0.265038778214675,-0.17519574339230917,sell
20200803,1050,461.13,91977.0,-0.08666825558468079,0.010844105144445946,0.17814081814429258,0.212974030207545,-0.18182998896032898,hold
20200803,1051,461.39,142656.0,0.05638323249408863,0.011921922247392204,0.04011231448054602,0.3014979681658599,-0.09310986964618397,buy
20200803,1052,461.5686,81300.0,0.038709118099659115,0.025701592805290913,0.07280488291379236,0.3770047951982829,-0.030885107400473677,buy
