Date,Time,Price,Volume,1-minute Percent Change,5-minute Percent Change,15-minute Percent Change,30-minute Percent Change,60-minute Percent Change,Decision
20200811,0930,25.825,392847.0,0,0,0,0,0,hold
20200812,0931,25.82,108461.0,-0.01936108422071251,0,0,0,0,sell
20200812,0932,25.81,93592.0,-0.038729666924870496,0,0,0,0,sell
20200812,0933,25.8021,158475.0,-0.030608291359935497,0,0,0,0,hold
20200812,0934,25.81,140892.0,0.030617662903404577,0,0,0,0,hold
20200812,0935,25.785,74789.0,-0.09686168151878566,-0.1548886737657276,0,0,0,hold
20200812,0936,25.8,133346.0,0.05817335660267818,-0.07745933384972724,0,0,0,hold
20200812,0937,25.7799,62009.0,-0.07790697674418348,-0.11662146454861431,0,0,0,sell
20200812,0938,25.77,93737.0,-0.03840201086893974,-0.12440847837966598,0,0,0,sell
20200812,0939,25.76,145507.0,-0.03880481179665506,-0.19372336303757132,0,0,0,hold
20200812,0940,25.7679,219824.0,0.030667701863351517,-0.0663176265270476,0,0,0,buy
20200812,0941,25.795,112241.0,0.10516961025151754,-0.019379844961236452,0,0,0,buy
20200812,0942,25.805,274409.0,0.038767202946299706,0.09736267402122718,0,0,0,buy
20200812,0943,25.825,224761.0,0.07750435962022699,0.21342646488164424,0,0,0,hold
20200812,0944,25.8175,223953.0,-0.029041626331075644,0.22321428571427576,0,0,0,hold
20200812,0945,25.8178,389702.0,0.0011620025176694135,0.1936517915701217,-0.027879961277835364,0,0,hold
20200812,0946,25.75,342116.0,-0.26260951746468836,-0.17445241325839,-0.2711076684740522,0,0,hold
20200812,0947,25.7676,459195.0,0.06834951456311307,-0.1449331524898202,-0.16427741185585862,0,0,buy
20200812,0948,25.77,389039.0,0.009314022260505282,-0.21297192642787885,-0.12440847837966598,0,0,hold
20200812,0949,25.74,157285.0,-0.11641443538999278,-0.300183983731967,-0.2712127082526164,0,0,sell
20200812,0950,25.73,491041.0,-0.038850038850031125,-0.34007545182005394,-0.21330230754314414,0,0,sell
20200812,0951,25.715,148292.0,-0.0582977069568619,-0.13592233009708793,-0.3294573643410886,0,0,sell
20200812,0952,25.71,552153.0,-0.0194439043359868,-0.2235365342523198,-0.27114147068064853,0,0,sell
20200812,0953,25.68,112403.0,-0.11668611435239648,-0.3492433061699646,-0.3492433061699646,0,0,sell
20200812,0954,25.67,182654.0,-0.038940809968839606,-0.2719502719502593,-0.3493788819875771,0,0,hold
20200812,0955,25.6705,93401.0,0.001947798987139987,-0.23124757092887635,-0.37798966931725275,0,0,hold
20200812,0956,25.655,51554.0,-0.06038059250890868,-0.23332685203188305,-0.542740841248306,0,0,sell
20200812,0957,25.6466,104125.0,-0.03274215552524552,-0.24659665499806088,-0.613834528192212,0,0,sell
20200812,0958,25.64,79077.0,-0.02573440534027446,-0.1557632398753861,-0.7163601161665004,0,0,hold
20200812,0959,25.64,108208.0,0.0,-0.11686793922867603,-0.6875181562893325,0,0,hold
20200812,1000,25.65,60237.0,0.03900156006239473,-0.07985820299566412,-0.6499391892415299,-0.6776379477250754,0,hold
20200812,1001,25.65,46605.0,0.0,-0.019489378288842556,-0.38834951456311234,-0.6584043377227021,0,hold
20200812,1002,25.645,192132.0,-0.019493177387910354,-0.006238643718854834,-0.47579130380789064,-0.6392870980240184,0,hold
20200812,1003,25.67,257156.0,0.0974848898420828,0.11700468018721191,-0.3880481179666196,-0.5119738315873423,0,buy
20200812,1004,25.675,197002.0,0.019477989871441392,0.13650546021840929,-0.2525252525252437,-0.5230530802014646,0,hold
20200812,1005,25.67,216047.0,-0.019474196689382686,0.07797270955166911,-0.23319082782743383,-0.44599573395384307,0,sell
20200812,1006,25.625,85105.0,-0.17530190884301403,-0.09746588693956562,-0.34999027804783145,-0.6782945736434136,0,sell
20200812,1007,25.62,400509.0,-0.019512195121947337,-0.09748488984206893,-0.35005834305717565,-0.6202506603982186,0,hold
20200812,1008,25.6221,158065.0,0.008196721311470173,-0.18659914296845365,-0.2254672897196264,-0.5739231664726423,0,hold
20200812,1009,25.6027,189688.0,-0.07571588589538318,-0.28159688412853756,-0.26217374366966506,-0.610636645962744,0,hold
